"Mechanism","Sex","ED Visits","Medical Costs Total","Medical Costs Average","Work Loss Costs Total","Work Loss Costs Average","Quality of Life Loss Costs Total","Quality of Life Loss Costs Average","Combined Costs Total","Combined Costs Average"
"Pedestrian","Females","51,779","$483.91 M","$9,346","$119.26 M","$2,303","$3.78 B","$72,979","$4.38 B","$84,628"
"Pedestrian","Unknown","","","","","","","","",""
"Other Transportation","Males","203,904","$1.62 B","$7,942","$418.77 M","$2,054","$17.74 B","$86,997","$19.78 B","$96,993"
"Other Transportation","Females","192,958","$1.54 B","$7,959","$407.44 M","$2,112","$17.96 B","$93,066","$19.90 B","$103,137"
"Other Transportation","Unknown","","","","","","","","",""
"Other Specified","Males","934,824","$3.93 B","$4,204","$436.66 M","$467","$5.76 B","$6,160","$10.13 B","$10,831"
"Other Specified","Females","488,730","$2.05 B","$4,204","$228.29 M","$467","$4.16 B","$8,508","$6.44 B","$13,179"
"Other Specified","Unknown","1,832","$7.70 M","$4,203","$855,537","$467","$11.35 M","$6,196","$19.91 M","$10,866"
"Unknown / Unspecified","Males","254,557","$0.00","$0.00","$0.00","$0.00","$11.15 B","$43,784","$11.15 B","$43,784"
"Unknown / Unspecified","Females","200,751","$0.00","$0.00","$0.00","$0.00","$8.41 B","$41,873","$8.41 B","$41,873"
"Unknown / Unspecified","Unknown","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Data Year: 2023","","","","","","","","","",""
"Currency Year:2020 USD","","","","","","","","","",""
"Injury Outcome: Nonfatal ED Treat and Release Visit","","","","","","","","","",""
"Intent: All Intents","","","","","","","","","",""
"Mechanism: All Causes","","","","","","","","","",""
"Geography: United States","","","","","","","","","",""
"Sex: Males, Females, Unknown","","","","","","","","","",""
"Age: All Ages","","","","","","","","","",""
"Notation: ** indicates unstable value (< 20 deaths); -- indicates suppressed value (between one and nine deaths or nonfatal injury counts based on < 20 unweighted count, < 1,200 weighted count, or coefficient of variation of the estimate > 30%);","","","","","","","","","",""
"ᵅ CDC does not recommend using NEISS-AIP data for nonfatal firearm injury prevalence estimates at this time. Firearm injuries have distinct geographic patterns, and estimates can be imprecise or change over time when based on a small number of facilities. CDC is working with CPSC to update and expand the NEISS hospital sample (Go to “About Nonfatal Injury Data” to learn more).","","","","","","","","","",""
"Abbreviations: $B = Billions; $M = Millions; ED = Emergency department; NEC = Not elsewhere classified; MV = Motor vehicle","","","","","","","","","",""
"Currency year and time horizon: Costs are 2021 USD. Medical costs for injury deaths refer to medical care associated with the fatal event. Medical, work loss, and quality of life loss costs for nonfatal injuries refer to the 1 year following the ED injury visit.","","","","","","","","","",""
"Data sources:","","","","","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","","","","","",""
"Pacific Institute for Research and Evaluation (2020) for nonfatal injury quality of life loss.","","","","","","","","","",""
"U.S. HHS Office of the Assistant Secretary for Planning and Evaluation (2016) for value of statistical life and monetized quality of life loss.","","","","","","","","","",""
"Journal articles for fatal and nonfatal medical costs and nonfatal injury work loss costs by injury type, description of how costs were assigned to WISQARS injury records, and the history of WISQARS Cost of Injury data and methods.","","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","","",""
